date,location,target_energy_next_hour,predicted_energy_next_hour
2026-09-17 22:00:00+00:00,Aalborg,0.0,0.01
2026-09-17 23:00:00+00:00,Aalborg,0.0,0.13
2026-09-18 00:00:00+00:00,Aalborg,0.0,0.11
2026-09-18 01:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 02:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 03:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 04:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 05:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 06:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 07:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 08:00:00+00:00,Aalborg,0.0,0.03
2026-09-18 09:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 10:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 11:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 12:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 13:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 14:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 15:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 16:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 17:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 18:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 19:00:00+00:00,Aalborg,0.0,0.04
2026-09-18 20:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 21:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 22:00:00+00:00,Aalborg,0.0,0.0
2026-09-18 23:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 00:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 01:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 02:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 03:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 04:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 05:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 06:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 07:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 08:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 09:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 10:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 11:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 12:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 13:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 14:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 15:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 16:00:00+00:00,Aalborg,0.0,0.01
2026-09-19 17:00:00+00:00,Aalborg,0.0,0.03
2026-09-19 18:00:00+00:00,Aalborg,0.0,0.01
2026-09-19 19:00:00+00:00,Aalborg,0.0,0.01
2026-09-19 20:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 21:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 22:00:00+00:00,Aalborg,0.0,0.0
2026-09-19 23:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 00:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 01:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 02:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 03:00:00+00:00,Aalborg,0.0,0.08
2026-09-20 04:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 05:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 06:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 07:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 08:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 09:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 10:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 11:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 12:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 13:00:00+00:00,Aalborg,0.0,0.0
2026-09-20 14:00:00+00:00,Aalborg,0.0,0.07
